Symbol,Description,Quantity,Currency,LastPrice,PricePaid,DayChange,ProfitLoss,MarketValue,ProfitLossPercentage
AIR,European Aeronautic Defence and Space NV,167,EUR,159.9,168.565748502994,0.90,"-1,447.18",26703.3,-5.14
BAESY,BAE Systems plc - ADR,616,USD,66.7671,68.522025379124,0.88,"-1,012.78",38531.8708250967,-2.56
BDRBF,Bombardier Inc. - Ordinary Shares - Class B (Sub Voting),1045,USD,41.995,42.2723105703293,0.38,-271.49,41114.0960661052,-0.66
BTI,British American Tobacco Plc - ADR,870,USD,28.59,30.7477117627705,0.21,"-1,758.69",23302.9164597757,-7.02
BUD,Anheuser-Busch In Bev SA/NV - ADR,581,USD,57.36,60.1884503245339,0.22,"-1,539.58",31222.1025117342,-4.70
BYD,Boyd Gaming Corp.,401,USD,63.69,64.501011350627,-0.97,-304.68,23927.2337196339,-1.26
CURLF,Curaleaf Holdings Inc,1614,USD,5.21,5.28533064335351,0.22,-113.91,7878.03895483375,-1.43
CZR,Caesars Entertainment Inc,534,USD,38.52,41.1164768162073,-0.92,"-1,298.98",19271.0068484809,-6.31
DKNG,DraftKings Inc - Ordinary Shares - Class A,711,USD,42.21,46.3939146991622,-2.73,"-2,786.95",28116.5365986191,-9.02
GD,General Dynamics Corp.,148,USD,284.46,285.352438808424,-0.84,-123.74,39442.0783406253,-0.31
GTBIF,Green Thumb Industries Inc - Ordinary Shares (Sub Voting),1400,USD,13.11,13.3329356568365,0.69,-292.40,17195.2144951705,-1.67
HEI,Heineken NV,460,EUR,87.16,86.0990434782609,0.28,488.04,40093.6,1.23
HO,THALES,419,EUR,157.1,153.690572792363,-1.15,"1,428.55",65824.9,2.22
LMT,Lockheed Martin Corp.,107,USD,456.05,438.439457131247,1.74,"1,765.36",45716.5141138665,4.02
LVS,Las Vegas Sands Corp,631,USD,50.23,51.0729001584786,-0.28,-498.29,29694.0480986331,-1.65
MGM,MGM Resorts International,439,USD,42.03,44.1397381632663,-0.67,-867.70,17286.2496369649,-4.78
MNST,Monster Beverage Corp.,471,USD,54.25,56.4260891073103,-0.44,-960.23,23938.5323077788,-3.86
MO,Altria Group Inc.,502,USD,41.1,44.197609561753,0.35,"-1,456.82",19329.5796288142,-7.01
NOC,Northrop Grumman Corp.,84,USD,452.05,462.957207792208,1.70,-858.36,35574.8133297108,-2.36
PEP,PepsiCo Inc,325,USD,169.48,172.495634141201,1.98,-918.20,51603.4439145954,-1.75
PM,Philip Morris International Inc,503,USD,90.58,94.0493638170974,1.08,"-1,634.91",42685.1853586786,-3.69
RHM,RHEINMETALL,111,EUR,531.8,502.300900900901,-11.60,"3,274.40",59029.8,5.87
RRR,Red Rock Resorts Inc - Ordinary Shares - Class A,763,USD,58.66,58.4234731323722,-1.14,169.08,41931.7962506675,0.40
RTX,Raytheon Technologies Corporation,532,USD,100.75,95.3145550527904,-0.09,"2,709.09",50215.0104460413,5.70
SAM,"Boston Beer Co., Inc. - Ordinary Shares - Class A",85,USD,280.1,295.432139478472,5.18,"-1,220.95",22305.3429393193,-5.19
STZ,Constellation Brands Inc - Ordinary Shares - Class A,110,USD,257.31,266.966727272727,-0.47,-995.18,26517.1118335379,-3.62
TAP,Molson Coors Beverage Company - Ordinary Shares - Class B,556,USD,63.54,67.4730035971223,0.28,"-2,048.69",33097.7805675526,-5.83
TDG,Transdigm Group Incorporated,30,USD,1225.7,1208.49772357724,2.55,483.49,34449.4514657248,1.42
WYNN,Wynn Resorts Ltd.,268,USD,97.48,103.9466367713,-1.87,"-1,623.64",24475.2527192498,-6.22
