Symbol,Description,Quantity,Currency,LastPrice,PricePaid,DayChange,ProfitLoss,MarketValue,ProfitLossPercentage
AIR,European Aeronautic Defence and Space NV,400,EUR,169.9,166.18,0.60,"1,488.00",67960,2.24
BAESY,BAE Systems plc - ADR,590,USD,69.81,68.518,0.29,705.32,38110.1262074836,1.89
BDRBF,Bombardier Inc. - Ordinary Shares - Class B (Sub Voting),1000,USD,43.88,42.04,0.29,"1,702.51",40601.0585143788,4.38
BTI,British American Tobacco Plc - ADR,937,USD,29.99,31.07,-0.16,-936.34,26000.8049890818,-3.48
BUD,Anheuser-Busch In Bev SA/NV - ADR,300,USD,59.5,59.93,0.21,-119.36,16516.1552981235,-0.72
BYD,Boyd Gaming Corp.,350,USD,63.17,62.54,-0.53,204.02,20457.3633369111,1.01
CURLF,Curaleaf Holdings Inc,9060,USD,5.315,5.14,-0.04,"1,467.02",44555.5905103816,3.40
CZR,Caesars Entertainment Inc,390,USD,41.31,39.67,-0.32,591.81,14907.0098819349,4.13
DKNG,DraftKings Inc - Ordinary Shares - Class A,850,USD,47.2,42.78,-0.75,"3,476.26",37122.0252414967,10.33
GD,General Dynamics Corp.,150,USD,281.16,278.07,-0.18,428.86,39022.5396942892,1.11
GTBIF,Green Thumb Industries Inc - Ordinary Shares (Sub Voting),2580,USD,13.91,13.26,-0.09,"1,551.69",33206.0772049299,4.90
HEI,Heineken NV,188,EUR,86.38,84.62,2.06,330.88,16239.44,2.08
HO,THALES,300,EUR,157.2,151.15,2.15,"1,815.00",47160,4.00
LMT,Lockheed Martin Corp.,100,USD,445.88,434.98,2.72,"1,008.55",41256.153077464,2.51
LVS,Las Vegas Sands Corp,450,USD,50.1,50.72,-0.25,-258.15,20860.320515193,-1.22
MGM,MGM Resorts International,750,USD,44.47,43.88,-0.28,409.43,30860.2279877124,1.34
MNST,Monster Beverage Corp.,760,USD,59.5,60.67,-0.38,-822.75,41840.9267552463,-1.93
MO,Altria Group Inc.,870,USD,42.98,44.63,-0.99,"-1,328.23",34598.430733928,-3.70
NOC,Northrop Grumman Corp.,100,USD,468.75,464.19,1.26,421.93,43372.2565601984,0.98
PEP,PepsiCo Inc,248,USD,172.02,173,-0.43,-224.88,39473.1115141197,-0.57
PM,Philip Morris International Inc,359,USD,90.88,95.61,-1.32,"-1,571.18",30187.9418187202,-4.95
RHM,RHEINMETALL,80,EUR,500.4,487.8,8.60,"1,008.00",40032,2.58
RRR,Red Rock Resorts Inc - Ordinary Shares - Class A,320,USD,56.33,54.99,-0.24,396.76,16678.6335541656,2.44
RTX,Raytheon Technologies Corporation,520,USD,95.54,94.36,1.28,567.75,45968.3926126059,1.25
SAM,"Boston Beer Co., Inc. - Ordinary Shares - Class A",8,USD,307.12,290.99,13.20,119.40,2273.36318886709,5.54
STZ,Constellation Brands Inc - Ordinary Shares - Class A,152,USD,268.24,266.98,-1.11,177.21,37725.7485473186,0.47
TAP,Molson Coors Beverage Company - Ordinary Shares - Class B,650,USD,67.16,67.72,0.09,-336.80,40391.9464080832,-0.83
TDG,Transdigm Group Incorporated,38,USD,1231.2,1202,-1.18,"1,026.68",43289.5369924868,2.43
WYNN,Wynn Resorts Ltd.,200,USD,99.89,99.03,-0.07,159.15,18485.1400866057,0.87
