Date,Symbol,Quantity,Currency,,,
18/03/2024,AIR,400,EUR,,,
18/03/2024,BAESY,590,USD,,,
18/03/2024,BDRBF,1000,USD,,,
18/03/2024,BTI,937,USD,,,
18/03/2024,BUD,300,USD,,,
18/03/2024,BYD,350,USD,,,
18/03/2024,CURLF,9060,USD,,,
18/03/2024,CZR,390,USD,,,
18/03/2024,DKNG,850,USD,,,
18/03/2024,GD,150,USD,,,
18/03/2024,GTBIF,2580,USD,,,
18/03/2024,HEI,188,EUR,,,
18/03/2024,HO,300,EUR,,,
18/03/2024,LMT,100,USD,,,
18/03/2024,LVS,450,USD,,,
18/03/2024,MGM,750,USD,,,
18/03/2024,MNST,760,USD,,,
18/03/2024,MO,870,USD,,,
18/03/2024,NOC,100,USD,,,
18/03/2024,PEP,248,USD,,,
18/03/2024,PM,359,USD,,,
18/03/2024,RHM,80,EUR,,,
18/03/2024,RRR,320,USD,,,
18/03/2024,RTX,520,USD,,,
18/03/2024,SAM,8,USD,,,
18/03/2024,STZ,152,USD,,,
18/03/2024,TAP,650,USD,,,
18/03/2024,TDG,38,USD,,,
18/03/2024,WYNN,200,USD,,,
19/03/2024,AIR,400,EUR,,,
19/03/2024,BAESY,590,USD,,,
19/03/2024,BDRBF,1000,USD,,,
19/03/2024,BTI,937,USD,,,
19/03/2024,BUD,300,USD,,,
19/03/2024,BYD,350,USD,,,
19/03/2024,CURLF,9060,USD,,,
19/03/2024,CZR,390,USD,,,
19/03/2024,DKNG,850,USD,,,
19/03/2024,GD,150,USD,,,
19/03/2024,GTBIF,2580,USD,,,
19/03/2024,HEI,188,EUR,,,
19/03/2024,HO,300,EUR,,,
19/03/2024,LMT,100,USD,,,
19/03/2024,LVS,450,USD,,,
19/03/2024,MGM,750,USD,,,
19/03/2024,MNST,760,USD,,,
19/03/2024,MO,870,USD,,,
19/03/2024,NOC,100,USD,,,
19/03/2024,PEP,248,USD,,,
19/03/2024,PM,359,USD,,,
19/03/2024,RHM,80,EUR,,,
19/03/2024,RRR,320,USD,,,
19/03/2024,RTX,520,USD,,,
19/03/2024,SAM,8,USD,,,
19/03/2024,STZ,152,USD,,,
19/03/2024,TAP,650,USD,,,
19/03/2024,TDG,38,USD,,,
19/03/2024,WYNN,200,USD,,,
20/03/2024,AIR,400,EUR,,,
20/03/2024,BAESY,590,USD,,,
20/03/2024,BDRBF,1000,USD,,,
20/03/2024,BTI,937,USD,,,
20/03/2024,BUD,300,USD,,,
20/03/2024,BYD,350,USD,,,
20/03/2024,CURLF,9060,USD,,,
20/03/2024,CZR,390,USD,,,
20/03/2024,DKNG,850,USD,,,
20/03/2024,GD,150,USD,,,
20/03/2024,GTBIF,2580,USD,,,
20/03/2024,HEI,188,EUR,,,
20/03/2024,HO,300,EUR,,,
20/03/2024,LMT,100,USD,,,
20/03/2024,LVS,450,USD,,,
20/03/2024,MGM,750,USD,,,
20/03/2024,MNST,760,USD,,,
20/03/2024,MO,870,USD,,,
20/03/2024,NOC,100,USD,,,
20/03/2024,PEP,248,USD,,,
20/03/2024,PM,359,USD,,,
20/03/2024,RHM,80,EUR,,,
20/03/2024,RRR,320,USD,,,
20/03/2024,RTX,520,USD,,,
20/03/2024,SAM,8,USD,,,
20/03/2024,STZ,152,USD,,,
20/03/2024,TAP,650,USD,,,
20/03/2024,TDG,38,USD,,,
20/03/2024,WYNN,200,USD,,,
21/03/2024,AIR,400,EUR,,,
21/03/2024,BAESY,590,USD,,,
21/03/2024,BDRBF,1000,USD,,,
21/03/2024,BTI,937,USD,,,
21/03/2024,BUD,300,USD,,,
21/03/2024,BYD,350,USD,,,
21/03/2024,CURLF,9060,USD,,,
21/03/2024,CZR,390,USD,,,
21/03/2024,DKNG,850,USD,,,
21/03/2024,GD,150,USD,,,
21/03/2024,GTBIF,2580,USD,,,
21/03/2024,HEI,188,EUR,,,
21/03/2024,HO,300,EUR,,,
21/03/2024,LMT,100,USD,,,
21/03/2024,LVS,450,USD,,,
21/03/2024,MGM,750,USD,,,
21/03/2024,MNST,760,USD,,,
21/03/2024,MO,870,USD,,,
21/03/2024,NOC,100,USD,,,
21/03/2024,PEP,248,USD,,,
21/03/2024,PM,359,USD,,,
21/03/2024,RHM,80,EUR,,,
21/03/2024,RRR,320,USD,,,
21/03/2024,RTX,520,USD,,,
21/03/2024,SAM,8,USD,,,
21/03/2024,STZ,152,USD,,,
21/03/2024,TAP,650,USD,,,
21/03/2024,TDG,38,USD,,,
21/03/2024,WYNN,200,USD,,,
22/03/2024,AIR,400,EUR,,,
22/03/2024,BAESY,590,USD,,,
22/03/2024,BDRBF,1000,USD,,,
22/03/2024,BTI,937,USD,,,
22/03/2024,BUD,300,USD,,,
22/03/2024,BYD,350,USD,,,
22/03/2024,CURLF,9060,USD,,,
22/03/2024,CZR,390,USD,,,
22/03/2024,DKNG,850,USD,,,
22/03/2024,GD,150,USD,,,
22/03/2024,GTBIF,2580,USD,,,
22/03/2024,HEI,188,EUR,,,
22/03/2024,HO,300,EUR,,,
22/03/2024,LMT,100,USD,,,
22/03/2024,LVS,450,USD,,,
22/03/2024,MGM,750,USD,,,
22/03/2024,MNST,760,USD,,,
22/03/2024,MO,870,USD,,,
22/03/2024,NOC,100,USD,,,
22/03/2024,PEP,248,USD,,,
22/03/2024,PM,359,USD,,,
22/03/2024,RHM,80,EUR,,,
22/03/2024,RRR,320,USD,,,
22/03/2024,RTX,520,USD,,,
22/03/2024,SAM,8,USD,,,
22/03/2024,STZ,152,USD,,,
22/03/2024,TAP,650,USD,,,
22/03/2024,TDG,38,USD,,,
22/03/2024,WYNN,200,USD,,,
25/03/2024,AIR,36,EUR,,,
25/03/2024,BAESY,644,USD,,,
25/03/2024,BDRBF,1348,USD,,,
25/03/2024,BTI,1023,USD,,,
25/03/2024,BUD,327,USD,,,
25/03/2024,BYD,382,USD,,,
25/03/2024,CURLF,7455,USD,,,
25/03/2024,CZR,780,USD,,,
25/03/2024,DKNG,1313,USD,,,
25/03/2024,GD,163,USD,,,
25/03/2024,GTBIF,2818,USD,,,
25/03/2024,HEI,205,EUR,,,
25/03/2024,HO,327,EUR,,,
25/03/2024,LMT,109,USD,,,
25/03/2024,LVS,491,USD,,,
25/03/2024,MGM,819,USD,,,
25/03/2024,MNST,558,USD,,,
25/03/2024,MO,950,USD,,,
25/03/2024,NOC,73,USD,,,
25/03/2024,PEP,345,USD,,,
25/03/2024,PM,392,USD,,,
25/03/2024,RHM,87,EUR,,,
25/03/2024,RRR,349,USD,,,
25/03/2024,RTX,568,USD,,,
25/03/2024,SAM,44,USD,,,
25/03/2024,STZ,166,USD,,,
25/03/2024,TAP,433,USD,,,
25/03/2024,TDG,41,USD,,,
25/03/2024,WYNN,218,USD,,,
26/03/2024,AIR,36,EUR,,,
26/03/2024,BAESY,644,USD,,,
26/03/2024,BDRBF,1348,USD,,,
26/03/2024,BTI,1023,USD,,,
26/03/2024,BUD,327,USD,,,
26/03/2024,BYD,382,USD,,,
26/03/2024,CURLF,7455,USD,,,
26/03/2024,CZR,780,USD,,,
26/03/2024,DKNG,1313,USD,,,
26/03/2024,GD,163,USD,,,
26/03/2024,GTBIF,2818,USD,,,
26/03/2024,HEI,205,EUR,,,
26/03/2024,HO,327,EUR,,,
26/03/2024,LMT,109,USD,,,
26/03/2024,LVS,491,USD,,,
26/03/2024,MGM,819,USD,,,
26/03/2024,MNST,558,USD,,,
26/03/2024,MO,950,USD,,,
26/03/2024,NOC,73,USD,,,
26/03/2024,PEP,345,USD,,,
26/03/2024,PM,392,USD,,,
26/03/2024,RHM,87,EUR,,,
26/03/2024,RRR,349,USD,,,
26/03/2024,RTX,568,USD,,,
26/03/2024,SAM,44,USD,,,
26/03/2024,STZ,166,USD,,,
26/03/2024,TAP,433,USD,,,
26/03/2024,TDG,41,USD,,,
26/03/2024,WYNN,218,USD,,,
27/03/2024,AIR,36,EUR,,,
27/03/2024,BAESY,644,USD,,,
27/03/2024,BDRBF,1348,USD,,,
27/03/2024,BTI,1023,USD,,,
27/03/2024,BUD,327,USD,,,
27/03/2024,BYD,382,USD,,,
27/03/2024,CURLF,7455,USD,,,
27/03/2024,CZR,780,USD,,,
27/03/2024,DKNG,1313,USD,,,
27/03/2024,GD,163,USD,,,
27/03/2024,GTBIF,2818,USD,,,
27/03/2024,HEI,205,EUR,,,
27/03/2024,HO,327,EUR,,,
27/03/2024,LMT,109,USD,,,
27/03/2024,LVS,491,USD,,,
27/03/2024,MGM,819,USD,,,
27/03/2024,MNST,558,USD,,,
27/03/2024,MO,950,USD,,,
27/03/2024,NOC,73,USD,,,
27/03/2024,PEP,345,USD,,,
27/03/2024,PM,392,USD,,,
27/03/2024,RHM,87,EUR,,,
27/03/2024,RRR,349,USD,,,
27/03/2024,RTX,568,USD,,,
27/03/2024,SAM,44,USD,,,
27/03/2024,STZ,166,USD,,,
27/03/2024,TAP,433,USD,,,
27/03/2024,TDG,41,USD,,,
27/03/2024,WYNN,218,USD,,,
28/03/2024,AIR,36,EUR,,,
28/03/2024,BAESY,644,USD,,,
28/03/2024,BDRBF,1348,USD,,,
28/03/2024,BTI,1023,USD,,,
28/03/2024,BUD,327,USD,,,
28/03/2024,BYD,382,USD,,,
28/03/2024,CURLF,7455,USD,,,
28/03/2024,CZR,780,USD,,,
28/03/2024,DKNG,1313,USD,,,
28/03/2024,GD,163,USD,,,
28/03/2024,GTBIF,2818,USD,,,
28/03/2024,HEI,205,EUR,,,
28/03/2024,HO,327,EUR,,,
28/03/2024,LMT,109,USD,,,
28/03/2024,LVS,491,USD,,,
28/03/2024,MGM,819,USD,,,
28/03/2024,MNST,558,USD,,,
28/03/2024,MO,950,USD,,,
28/03/2024,NOC,73,USD,,,
28/03/2024,PEP,345,USD,,,
28/03/2024,PM,392,USD,,,
28/03/2024,RHM,87,EUR,,,
28/03/2024,RRR,349,USD,,,
28/03/2024,RTX,568,USD,,,
28/03/2024,SAM,44,USD,,,
28/03/2024,STZ,166,USD,,,
28/03/2024,TAP,433,USD,,,
28/03/2024,TDG,41,USD,,,
28/03/2024,WYNN,218,USD,,,
29/03/2024,AIR,36,EUR,,,
29/03/2024,BAESY,644,USD,,,
29/03/2024,BDRBF,1348,USD,,,
29/03/2024,BTI,1023,USD,,,
29/03/2024,BUD,327,USD,,,
29/03/2024,BYD,382,USD,,,
29/03/2024,CURLF,7455,USD,,,
29/03/2024,CZR,780,USD,,,
29/03/2024,DKNG,1313,USD,,,
29/03/2024,GD,163,USD,,,
29/03/2024,GTBIF,2818,USD,,,
29/03/2024,HEI,205,EUR,,,
29/03/2024,HO,327,EUR,,,
29/03/2024,LMT,109,USD,,,
29/03/2024,LVS,491,USD,,,
29/03/2024,MGM,819,USD,,,
29/03/2024,MNST,558,USD,,,
29/03/2024,MO,950,USD,,,
29/03/2024,NOC,73,USD,,,
29/03/2024,PEP,345,USD,,,
29/03/2024,PM,392,USD,,,
29/03/2024,RHM,87,EUR,,,
29/03/2024,RRR,349,USD,,,
29/03/2024,RTX,568,USD,,,
29/03/2024,SAM,44,USD,,,
29/03/2024,STZ,166,USD,,,
29/03/2024,TAP,433,USD,,,
29/03/2024,TDG,41,USD,,,
29/03/2024,WYNN,218,USD,,,
01/04/2024,AIR,38,EUR,,,
01/04/2024,BAESY,507,USD,,,
01/04/2024,BDRBF,860,USD,,,
01/04/2024,BTI,1083,USD,,,
01/04/2024,BUD,664,USD,,,
01/04/2024,BYD,562,USD,,,
01/04/2024,CURLF,7896,USD,,,
01/04/2024,CZR,826,USD,,,
01/04/2024,DKNG,408,USD,,,
01/04/2024,GD,123,USD,,,
01/04/2024,GTBIF,2984,USD,,,
01/04/2024,HEI,217,EUR,,,
01/04/2024,HO,346,EUR,,,
01/04/2024,LMT,115,USD,,,
01/04/2024,LVS,520,USD,,,
01/04/2024,MGM,867,USD,,,
01/04/2024,MNST,591,USD,,,
01/04/2024,MO,713,USD,,,
01/04/2024,NOC,77,USD,,,
01/04/2024,PEP,365,USD,,,
01/04/2024,PM,415,USD,,,
01/04/2024,RHM,92,EUR,,,
01/04/2024,RRR,628,USD,,,
01/04/2024,RTX,601,USD,,,
01/04/2024,SAM,97,USD,,,
01/04/2024,STZ,175,USD,,,
01/04/2024,TAP,458,USD,,,
01/04/2024,TDG,26,USD,,,
01/04/2024,WYNN,230,USD,,,
02/04/2024,AIR,38,EUR,,,
02/04/2024,BAESY,507,USD,,,
02/04/2024,BDRBF,860,USD,,,
02/04/2024,BTI,1083,USD,,,
02/04/2024,BUD,664,USD,,,
02/04/2024,BYD,562,USD,,,
02/04/2024,CURLF,7896,USD,,,
02/04/2024,CZR,826,USD,,,
02/04/2024,DKNG,408,USD,,,
02/04/2024,GD,123,USD,,,
02/04/2024,GTBIF,2984,USD,,,
02/04/2024,HEI,217,EUR,,,
02/04/2024,HO,346,EUR,,,
02/04/2024,LMT,115,USD,,,
02/04/2024,LVS,520,USD,,,
02/04/2024,MGM,867,USD,,,
02/04/2024,MNST,591,USD,,,
02/04/2024,MO,713,USD,,,
02/04/2024,NOC,77,USD,,,
02/04/2024,PEP,365,USD,,,
02/04/2024,PM,415,USD,,,
02/04/2024,RHM,92,EUR,,,
02/04/2024,RRR,628,USD,,,
02/04/2024,RTX,601,USD,,,
02/04/2024,SAM,97,USD,,,
02/04/2024,STZ,175,USD,,,
02/04/2024,TAP,458,USD,,,
02/04/2024,TDG,26,USD,,,
02/04/2024,WYNN,230,USD,,,
03/04/2024,AIR,38,EUR,,,
03/04/2024,BAESY,507,USD,,,
03/04/2024,BDRBF,860,USD,,,
03/04/2024,BTI,1083,USD,,,
03/04/2024,BUD,664,USD,,,
03/04/2024,BYD,562,USD,,,
03/04/2024,CURLF,7896,USD,,,
03/04/2024,CZR,826,USD,,,
03/04/2024,DKNG,408,USD,,,
03/04/2024,GD,123,USD,,,
03/04/2024,GTBIF,2984,USD,,,
03/04/2024,HEI,217,EUR,,,
03/04/2024,HO,346,EUR,,,
03/04/2024,LMT,115,USD,,,
03/04/2024,LVS,520,USD,,,
03/04/2024,MGM,867,USD,,,
03/04/2024,MNST,591,USD,,,
03/04/2024,MO,713,USD,,,
03/04/2024,NOC,77,USD,,,
03/04/2024,PEP,365,USD,,,
03/04/2024,PM,415,USD,,,
03/04/2024,RHM,92,EUR,,,
03/04/2024,RRR,628,USD,,,
03/04/2024,RTX,601,USD,,,
03/04/2024,SAM,97,USD,,,
03/04/2024,STZ,175,USD,,,
03/04/2024,TAP,458,USD,,,
03/04/2024,TDG,26,USD,,,
03/04/2024,WYNN,230,USD,,,
04/04/2024,AIR,38,EUR,,,
04/04/2024,BAESY,507,USD,,,
04/04/2024,BDRBF,860,USD,,,
04/04/2024,BTI,1083,USD,,,
04/04/2024,BUD,664,USD,,,
04/04/2024,BYD,562,USD,,,
04/04/2024,CURLF,7896,USD,,,
04/04/2024,CZR,826,USD,,,
04/04/2024,DKNG,408,USD,,,
04/04/2024,GD,123,USD,,,
04/04/2024,GTBIF,2984,USD,,,
04/04/2024,HEI,217,EUR,,,
04/04/2024,HO,346,EUR,,,
04/04/2024,LMT,115,USD,,,
04/04/2024,LVS,520,USD,,,
04/04/2024,MGM,867,USD,,,
04/04/2024,MNST,591,USD,,,
04/04/2024,MO,713,USD,,,
04/04/2024,NOC,77,USD,,,
04/04/2024,PEP,365,USD,,,
04/04/2024,PM,415,USD,,,
04/04/2024,RHM,92,EUR,,,
04/04/2024,RRR,628,USD,,,
04/04/2024,RTX,601,USD,,,
04/04/2024,SAM,97,USD,,,
04/04/2024,STZ,175,USD,,,
04/04/2024,TAP,458,USD,,,
04/04/2024,TDG,26,USD,,,
04/04/2024,WYNN,230,USD,,,
05/04/2024,AIR,38,EUR,,,
05/04/2024,BAESY,507,USD,,,
05/04/2024,BDRBF,860,USD,,,
05/04/2024,BTI,1083,USD,,,
05/04/2024,BUD,664,USD,,,
05/04/2024,BYD,562,USD,,,
05/04/2024,CURLF,7896,USD,,,
05/04/2024,CZR,826,USD,,,
05/04/2024,DKNG,408,USD,,,
05/04/2024,GD,123,USD,,,
05/04/2024,GTBIF,2984,USD,,,
05/04/2024,HEI,217,EUR,,,
05/04/2024,HO,346,EUR,,,
05/04/2024,LMT,115,USD,,,
05/04/2024,LVS,520,USD,,,
05/04/2024,MGM,867,USD,,,
05/04/2024,MNST,591,USD,,,
05/04/2024,MO,713,USD,,,
05/04/2024,NOC,77,USD,,,
05/04/2024,PEP,365,USD,,,
05/04/2024,PM,415,USD,,,
05/04/2024,RHM,92,EUR,,,
05/04/2024,RRR,628,USD,,,
05/04/2024,RTX,601,USD,,,
05/04/2024,SAM,97,USD,,,
05/04/2024,STZ,175,USD,,,
05/04/2024,TAP,458,USD,,,
05/04/2024,TDG,26,USD,,,
05/04/2024,WYNN,230,USD,,,
08/04/2024,AIR,152,EUR,,,
08/04/2024,BAESY,559,USD,,,
08/04/2024,BDRBF,949,USD,,,
08/04/2024,BTI,790,USD,,,
08/04/2024,BUD,528,USD,,,
08/04/2024,BYD,364,USD,,,
08/04/2024,CURLF,13383,USD,,,
08/04/2024,CZR,485,USD,,,
08/04/2024,DKNG,1122,USD,,,
08/04/2024,GD,194,USD,,,
08/04/2024,GTBIF,2193,USD,,,
08/04/2024,HEI,239,EUR,,,
08/04/2024,HO,381,EUR,,,
08/04/2024,LMT,98,USD,,,
08/04/2024,LVS,573,USD,,,
08/04/2024,MGM,683,USD,,,
08/04/2024,MNST,141,USD,,,
08/04/2024,MO,456,USD,,,
08/04/2024,NOC,35,USD,,,
08/04/2024,PEP,295,USD,,,
08/04/2024,PM,457,USD,,,
08/04/2024,RHM,101,EUR,,,
08/04/2024,RRR,693,USD,,,
08/04/2024,RTX,663,USD,,,
08/04/2024,SAM,43,USD,,,
08/04/2024,STZ,100,USD,,,
08/04/2024,TAP,505,USD,,,
08/04/2024,TDG,28,USD,,,
08/04/2024,WYNN,446,USD,,,
09/04/2024,AIR,152,EUR,,,
09/04/2024,BAESY,559,USD,,,
09/04/2024,BDRBF,949,USD,,,
09/04/2024,BTI,790,USD,,,
09/04/2024,BUD,528,USD,,,
09/04/2024,BYD,364,USD,,,
09/04/2024,CURLF,13383,USD,,,
09/04/2024,CZR,485,USD,,,
09/04/2024,DKNG,1122,USD,,,
09/04/2024,GD,194,USD,,,
09/04/2024,GTBIF,2193,USD,,,
09/04/2024,HEI,239,EUR,,,
09/04/2024,HO,381,EUR,,,
09/04/2024,LMT,98,USD,,,
09/04/2024,LVS,573,USD,,,
